method,part_size,n_runs,binary_iou_mean,binary_iou_std,soft_ap_mean,soft_ap_std,area_ratio_mean,area_ratio_std,inside_mass_mean,inside_mass_std
Attention-gated TDM,large,12,0.49000071457832384,0.15605480760503637,0.6171446572680508,0.21026888894682622,1.739952867727401,1.0952114019356591,0.43532776764460007,0.1805782528119119
Attention-gated TDM,medium,12,0.276938379522967,0.05906476864499253,0.4356842884131513,0.14509267577783755,3.3748984177154457,0.8004226618816532,0.2189429775671995,0.06011170366081213
Attention-gated TDM,small,12,0.27737532661285863,0.25372441182552197,0.6113614088869374,0.22658118515119655,7.951200526701083,6.962513386041286,0.13446459186124984,0.04686688397866628
FLUX edit+part attention,large,12,0.42516913452809746,0.16640408455516065,0.6087175965947322,0.18721871302407708,2.3765702950101053,1.2039363518450887,0.35210109129548073,0.1564060304848216
FLUX edit+part attention,medium,12,0.2671806189295623,0.10322148194361218,0.3384342522747093,0.1401453416004538,3.4341791319022015,1.0878729582512912,0.1712813675403594,0.08568106427161647
FLUX edit+part attention,small,12,0.24016358486562298,0.26460173230546447,0.5013126096175652,0.39688612790443567,13.09378767202132,14.446648277958296,0.09386408701539034,0.04609759302328996
FYS-TDM,large,12,0.30813340702074565,0.13236822636270018,0.37118983930412863,0.17786895677741185,3.1920898303583414,1.5606075754287423,0.25470257177948946,0.1490332621721813
FYS-TDM,medium,12,0.16128557688873799,0.0628551550387538,0.22500746462460733,0.12761089835544648,5.399441693904941,1.9414623138335667,0.11279083974659443,0.02922190178612239
FYS-TDM,small,12,0.0477810053418912,0.01354780660615069,0.1244805632493421,0.08222761357182665,16.984080623783004,10.235332607117229,0.04121627472341058,0.011586048830581064
