run_uid,case_uid,seed,part_size,part,edit,hybrid_iou,hybrid_ap,hybrid_area_ratio,fys_iou,fys_ap,fys_area_ratio,attention_iou,attention_ap,attention_area_ratio,hybrid_minus_fys_iou,hybrid_minus_fys_ap,area_ratio_reduction_vs_fys
real_0011_seed_000,real_0011,0,large,hair,curly_hair,0.6027397260273972,0.7341092403315582,1.4123711340206186,0.1630822585224003,0.2009123704623378,4.972734436564224,0.568381718884737,0.7699559393739565,1.1498817966903074,0.4396574675049969,0.5331968698692204,3.560363302543605
real_0011_seed_001,real_0011,1,large,hair,curly_hair,0.6027397260273972,0.7341092403315582,1.4123711340206186,0.1630822585224003,0.2009123704623378,4.972734436564224,0.568381718884737,0.7699559393739565,1.1498817966903074,0.4396574675049969,0.5331968698692204,3.560363302543605
real_0011_seed_002,real_0011,2,large,hair,curly_hair,0.6027397260273972,0.7341092403315582,1.4123711340206186,0.1630822585224003,0.2009123704623378,4.972734436564224,0.568381718884737,0.7699559393739565,1.1498817966903074,0.4396574675049969,0.5331968698692204,3.560363302543605
real_0009_seed_000,real_0009,0,large,carbody,rusted,0.6572164948453608,0.8933125135377868,0.7910863509749304,0.5083119151179649,0.6516052733499355,0.9800049744249671,0.6081806507750497,0.8146243998267195,1.4783125885393575,0.1489045797273959,0.2417072401878514,0.18891862345003674
real_0009_seed_001,real_0009,1,large,carbody,rusted,0.6572164948453608,0.8933125135377868,0.7910863509749304,0.5083119151179649,0.6516052733499355,0.9800049744249671,0.6081806507750497,0.8146243998267195,1.4783125885393575,0.1489045797273959,0.2417072401878514,0.18891862345003674
real_0009_seed_002,real_0009,2,large,carbody,rusted,0.6572164948453608,0.8933125135377868,0.7910863509749304,0.5083119151179649,0.6516052733499355,0.9800049744249671,0.6081806507750497,0.8146243998267195,1.4783125885393575,0.1489045797273959,0.2417072401878514,0.18891862345003674
real_0005_seed_000,real_0005,0,large,head,dog,0.44370860927152317,0.48995446616978955,1.1584158415841583,0.3416213681850815,0.3962989254130638,2.517613614536514,0.304170835674831,0.4721034738742617,2.6552956090814797,0.10208724108644168,0.09365554075672577,1.3591977729523557
real_0005_seed_001,real_0005,1,large,head,dog,0.44370860927152317,0.48995446616978955,1.1584158415841583,0.3416213681850815,0.3962989254130638,2.517613614536514,0.304170835674831,0.4721034738742617,2.6552956090814797,0.10208724108644168,0.09365554075672577,1.3591977729523557
real_0005_seed_002,real_0005,2,large,head,dog,0.44370860927152317,0.48995446616978955,1.1584158415841583,0.3416213681850815,0.3962989254130638,2.517613614536514,0.304170835674831,0.4721034738742617,2.6552956090814797,0.10208724108644168,0.09365554075672577,1.3591977729523557
real_0000_seed_000,real_0000,0,large,torso,armored,0.2563380281690141,0.35120240903306843,3.597938144329897,0.2195180862575359,0.2359427879911775,4.29800629590766,0.2199433327777723,0.3781865733039912,4.222791185729276,0.036819941911478166,0.11525962104189094,0.7000681515777631
real_0000_seed_001,real_0000,1,large,torso,armored,0.2563380281690141,0.35120240903306843,3.597938144329897,0.2195180862575359,0.2359427879911775,4.29800629590766,0.2199433327777723,0.3781865733039912,4.222791185729276,0.036819941911478166,0.11525962104189094,0.7000681515777631
real_0000_seed_002,real_0000,2,large,torso,armored,0.2563380281690141,0.35120240903306843,3.597938144329897,0.2195180862575359,0.2359427879911775,4.29800629590766,0.2199433327777723,0.3781865733039912,4.222791185729276,0.036819941911478166,0.11525962104189094,0.7000681515777631
real_0007_seed_000,real_0007,0,medium,seat,leather,0.3475177304964539,0.4501776741433939,2.392857142857143,0.1261694319532744,0.1350498289454021,3.532871012482663,0.4235768032226191,0.5533004302899358,1.5977808599167822,0.2213482985431795,0.31512784519799175,1.1400138696255202
real_0007_seed_001,real_0007,1,medium,seat,leather,0.3475177304964539,0.4501776741433939,2.392857142857143,0.1261694319532744,0.1350498289454021,3.532871012482663,0.4235768032226191,0.5533004302899358,1.5977808599167822,0.2213482985431795,0.31512784519799175,1.1400138696255202
real_0007_seed_002,real_0007,2,medium,seat,leather,0.3475177304964539,0.4501776741433939,2.392857142857143,0.1261694319532744,0.1350498289454021,3.532871012482663,0.4235768032226191,0.5533004302899358,1.5977808599167822,0.2213482985431795,0.31512784519799175,1.1400138696255202
real_0010_seed_000,real_0010,0,medium,head,dragon,0.23979591836734693,0.6187982652571267,4.170212765957447,0.0986389356170668,0.085060185449886,8.16326530612245,0.2543571295664578,0.2959362809396346,3.836734693877551,0.14115698275028013,0.5337380798072406,3.993052540165002
real_0010_seed_001,real_0010,1,medium,head,dragon,0.23979591836734693,0.6187982652571267,4.170212765957447,0.0986389356170668,0.085060185449886,8.16326530612245,0.2543571295664578,0.2959362809396346,3.836734693877551,0.14115698275028013,0.5337380798072406,3.993052540165002
real_0010_seed_002,real_0010,2,medium,head,dragon,0.23979591836734693,0.6187982652571267,4.170212765957447,0.0986389356170668,0.085060185449886,8.16326530612245,0.2543571295664578,0.2959362809396346,3.836734693877551,0.14115698275028013,0.5337380798072406,3.993052540165002
real_0001_seed_000,real_0001,0,medium,head,cat,0.31952662721893493,0.4612639191903623,2.7796610169491527,0.2643267132456767,0.4142310921444833,3.6181927791546658,0.257393987725807,0.3409460218084543,3.858262442226539,0.05519991397325824,0.04703282704587902,0.8385317622055131
real_0001_seed_001,real_0001,1,medium,head,cat,0.31952662721893493,0.4612639191903623,2.7796610169491527,0.2643267132456767,0.4142310921444833,3.6181927791546658,0.257393987725807,0.3409460218084543,3.858262442226539,0.05519991397325824,0.04703282704587902,0.8385317622055131
real_0001_seed_002,real_0001,2,medium,head,cat,0.31952662721893493,0.4612639191903623,2.7796610169491527,0.2643267132456767,0.4142310921444833,3.6181927791546658,0.257393987725807,0.3409460218084543,3.858262442226539,0.05519991397325824,0.04703282704587902,0.8385317622055131
real_0004_seed_000,real_0004,0,medium,carhood,rusted,0.2009132420091324,0.21249729506172244,4.1568627450980395,0.156007226738934,0.265688751958658,6.283437677859989,0.1333945552033652,0.1635542760608126,4.443938531587934,0.04490601527019841,-0.05319145689693555,2.126574932761949
real_0004_seed_001,real_0004,1,medium,carhood,rusted,0.2009132420091324,0.21249729506172244,4.1568627450980395,0.156007226738934,0.265688751958658,6.283437677859989,0.1333945552033652,0.1635542760608126,4.443938531587934,0.04490601527019841,-0.05319145689693555,2.126574932761949
real_0004_seed_002,real_0004,2,medium,carhood,rusted,0.2009132420091324,0.21249729506172244,4.1568627450980395,0.156007226738934,0.265688751958658,6.283437677859989,0.1333945552033652,0.1635542760608126,4.443938531587934,0.04490601527019841,-0.05319145689693555,2.126574932761949
real_0003_seed_000,real_0003,0,small,head,cheetah,0.7058823529411765,0.8876194045992306,0.8709677419354839,0.0447413633975605,0.0437145099936931,8.450038530696121,0.6919079435783222,0.9393947373210666,0.7562291292062676,0.661140989543616,0.8439048946055375,7.579070788760637
