run_uid,case_uid,seed,part_size,part,edit,method,binary_iou,soft_ap,pred_to_gt_area_ratio,soft_inside_gt_mass
real_0006_seed_000,real_0006,0,small,head,alien,FYS-TDM,0.029203869047619,0.242928112011141,34.24203821656051,0.0255405381321907
real_0006_seed_000,real_0006,0,small,head,alien,FLUX edit+part attention,0.0268590328467153,0.0559300978274938,37.231422505307854,0.0198021903634071
real_0006_seed_001,real_0006,1,small,head,alien,FYS-TDM,0.029203869047619,0.242928112011141,34.24203821656051,0.0255405381321907
real_0006_seed_001,real_0006,1,small,head,alien,FLUX edit+part attention,0.0268590328467153,0.0559300978274938,37.231422505307854,0.0198021903634071
real_0006_seed_002,real_0006,2,small,head,alien,FYS-TDM,0.029203869047619,0.242928112011141,34.24203821656051,0.0255405381321907
real_0006_seed_002,real_0006,2,small,head,alien,FLUX edit+part attention,0.0268590328467153,0.0559300978274938,37.231422505307854,0.0198021903634071
real_0008_seed_000,real_0008,0,small,head,bear,FYS-TDM,0.067138671875,0.159410611551875,14.894545454545456,0.0579891875386238
real_0008_seed_000,real_0008,0,small,head,bear,FLUX edit+part attention,0.0888676881016118,0.8512042014575373,11.0899604743083,0.0916901528835296
real_0008_seed_001,real_0008,1,small,head,bear,FYS-TDM,0.067138671875,0.159410611551875,14.894545454545456,0.0579891875386238
real_0008_seed_001,real_0008,1,small,head,bear,FLUX edit+part attention,0.0888676881016118,0.8512042014575373,11.0899604743083,0.0916901528835296
real_0008_seed_002,real_0008,2,small,head,bear,FYS-TDM,0.067138671875,0.159410611551875,14.894545454545456,0.0579891875386238
real_0008_seed_002,real_0008,2,small,head,bear,FLUX edit+part attention,0.0888676881016118,0.8512042014575373,11.0899604743083,0.0916901528835296
real_0003_seed_000,real_0003,0,small,head,cheetah,FYS-TDM,0.0447413633975605,0.0437145099936931,8.450038530696121,0.0385130532085895
real_0003_seed_000,real_0003,0,small,head,cheetah,FLUX edit+part attention,0.6919079435783222,0.9393947373210666,0.7562291292062676,0.1391969472169876
real_0003_seed_001,real_0003,1,small,head,cheetah,FYS-TDM,0.0447413633975605,0.0437145099936931,8.450038530696121,0.0385130532085895
real_0003_seed_001,real_0003,1,small,head,cheetah,FLUX edit+part attention,0.6919079435783222,0.9393947373210666,0.7562291292062676,0.1391969472169876
real_0003_seed_002,real_0003,2,small,head,cheetah,FYS-TDM,0.0447413633975605,0.0437145099936931,8.450038530696121,0.0385130532085895
real_0003_seed_002,real_0003,2,small,head,cheetah,FLUX edit+part attention,0.6919079435783222,0.9393947373210666,0.7562291292062676,0.1391969472169876
real_0002_seed_000,real_0002,0,small,seat,mesh,FYS-TDM,0.0500401170473853,0.0518690194406593,10.349700293329931,0.0428223200142383
real_0002_seed_000,real_0002,0,small,seat,mesh,FLUX edit+part attention,0.1530196749358426,0.158721401864163,3.297538579262849,0.1247670575976371
real_0002_seed_001,real_0002,1,small,seat,mesh,FYS-TDM,0.0500401170473853,0.0518690194406593,10.349700293329931,0.0428223200142383
real_0002_seed_001,real_0002,1,small,seat,mesh,FLUX edit+part attention,0.1530196749358426,0.158721401864163,3.297538579262849,0.1247670575976371
real_0002_seed_002,real_0002,2,small,seat,mesh,FYS-TDM,0.0500401170473853,0.0518690194406593,10.349700293329931,0.0428223200142383
real_0002_seed_002,real_0002,2,small,seat,mesh,FLUX edit+part attention,0.1530196749358426,0.158721401864163,3.297538579262849,0.1247670575976371
real_0010_seed_000,real_0010,0,medium,head,dragon,FYS-TDM,0.0986389356170668,0.085060185449886,8.16326530612245,0.0719930902123451
real_0010_seed_000,real_0010,0,medium,head,dragon,FLUX edit+part attention,0.2543571295664578,0.2959362809396346,3.836734693877551,0.1379225701093673
real_0010_seed_001,real_0010,1,medium,head,dragon,FYS-TDM,0.0986389356170668,0.085060185449886,8.16326530612245,0.0719930902123451
real_0010_seed_001,real_0010,1,medium,head,dragon,FLUX edit+part attention,0.2543571295664578,0.2959362809396346,3.836734693877551,0.1379225701093673
real_0010_seed_002,real_0010,2,medium,head,dragon,FYS-TDM,0.0986389356170668,0.085060185449886,8.16326530612245,0.0719930902123451
