footprint_change,method,strict_outside_mask_l1_aux,strict_inside_mask_l1_aux,strict_outside_mask_mse,strict_inside_mask_mse,strict_outside_mask_psnr,strict_inside_mask_psnr,strict_outside_mask_global_ssim,strict_inside_mask_global_ssim,buffered_outside_mask_l1_aux,buffered_inside_mask_l1_aux,buffered_outside_mask_mse,buffered_inside_mask_mse,buffered_outside_mask_psnr,buffered_inside_mask_psnr,buffered_outside_mask_global_ssim,buffered_inside_mask_global_ssim,strict_outside_mask_lpips,buffered_outside_mask_lpips
comparable,endpoint_projection,0.02682647073848375,0.08260926086869501,0.0032148324237722004,0.01954509413076767,26.254269519029283,18.79365401449022,0.966208905617976,0.8060225676324965,0.024611915937728306,0.06294725698729352,0.0025647121869647954,0.013902502214639506,27.330472836982796,20.065064578533196,0.9721255478781976,0.8951176755434348,0.11527248927288582,0.09846890320380523
comparable,endpoint_projection_n3,0.03070013225078579,0.06573675643238752,0.003304471516619498,0.012856555295487203,25.631014484744153,20.50027564129853,0.9652231804243381,0.855936460933443,0.02912299299819597,0.054426139344771654,0.0028979163552219998,0.009768154368632313,26.27593360465014,21.167202041683655,0.9684912757833147,0.9207793731246395,0.1419055670499801,0.12498801863855782
comparable,original_fys_tdm,0.03493188992142672,0.0694154996838834,0.005036067331416698,0.014746605801499498,23.703996050854858,19.93140667297986,0.9482102150902367,0.8353592590900263,0.0330635283556249,0.06002717084354821,0.0045424779126834024,0.012002468481659844,24.34334396843998,20.065906165324638,0.9522614691269341,0.902530096490794,0.12675972522960766,0.10928717830942733
comparable,residual_rk2,0.02621030985481205,0.07958845682442184,0.0029982229216127267,0.018079918255615522,26.485285295531604,19.119987996727232,0.9682307595065099,0.8153126437356161,0.023986985741390077,0.06141287071837314,0.0023392775024856046,0.013252213568840536,27.623229668326683,20.264634154055507,0.9743815259011289,0.8995947377757133,0.11335087840755777,0.09635512464576293
contraction,endpoint_projection,0.0299526546150445,0.0866909176111221,0.0022735027596354,0.0185456294566392,26.433045143008695,17.31758421709554,0.9765282690768442,0.8486443831542549,0.0297496039420366,0.0509643778204917,0.0021839921828359,0.0087375622242689,26.60748920434925,20.58609718421037,0.9754730581534008,0.9528509160730774,0.1831783950328827,0.1734817922115326
contraction,endpoint_projection_n3,0.0366785414516925,0.0665369778871536,0.0033128361683338,0.0103222541511058,24.798000410114497,19.862254520802487,0.9652659119557406,0.916392915057077,0.0368836224079132,0.0433671176433563,0.0032979205716401,0.0057661952450871,24.817598082772463,22.391106563584287,0.9623663549057704,0.9692750076569936,0.222111165523529,0.2128015160560608
contraction,original_fys_tdm,0.0265512727200984,0.0802017077803611,0.0025113846641033,0.0166976284235715,26.000867621166705,17.77345207636607,0.9746001781222516,0.86384614368488,0.0264265481382608,0.0454773195087909,0.0024234727025032,0.0082851527258753,26.155618677171635,20.816994815242364,0.9732446567902224,0.9569286505830452,0.0773407593369484,0.0701313838362693
contraction,residual_rk2,0.0299556460231542,0.0859833508729934,0.0022706894669681,0.0181579831987619,26.43842254597294,17.409323900819572,0.9765449289129172,0.8529894871068061,0.0297987181693315,0.0500937961041927,0.0021925773471593,0.0084518864750862,26.590450771628316,20.73046344981619,0.9753566880645432,0.9544097340660486,0.1834054589271545,0.1741455495357513
expansion,endpoint_projection,0.022751635441986377,0.0810592683175435,0.001784896048215669,0.017184616424716394,28.287188423811624,19.28586968190161,0.981692175273329,0.7889899156476564,0.02122393336433626,0.059117549170668256,0.0013050724116440153,0.012536634314948501,29.78006041350629,20.631481041090197,0.9870117851864079,0.8754164415644018,0.10534975649072569,0.09165942382353998
expansion,endpoint_projection_n3,0.029092460584181964,0.07825749840300814,0.0025927214390741,0.014545111370702721,26.66538447695908,19.46665844258128,0.9738988556631766,0.807159516343442,0.027787546125742038,0.05938928961180718,0.002235707603036723,0.010787550977861023,27.39661869314398,20.64147552407027,0.9776293348985514,0.8891402066807466,0.14392222005587355,0.12896966045865643
expansion,original_fys_tdm,0.03389622256732899,0.09034597594290969,0.004301218893558038,0.018991538408534715,24.36601442657747,18.171418586002044,0.9562755462700576,0.7536378457564444,0.03215598085751896,0.07160409339345415,0.003849962614297531,0.014543426742490616,24.973882773199644,18.968097130469896,0.9611797148960909,0.8431304921457904,0.11591939427531679,0.100826128744162
expansion,residual_rk2,0.02270603265899873,0.07952224176663614,0.0017669147301393078,0.01656398482961003,28.382844277390404,19.518795429183687,0.9818922120436171,0.7971236418542504,0.02120112305363779,0.058383114492663916,0.0012991185783623076,0.012223851110320485,29.85761786697628,20.802750501020416,0.9870382970837484,0.8785183256153309,0.10501289625580491,0.09171136010151638
