method,strict_outside_mask_l1_aux,strict_inside_mask_l1_aux,strict_outside_mask_mse,strict_inside_mask_mse,strict_outside_mask_psnr,strict_inside_mask_psnr,strict_outside_mask_global_ssim,strict_inside_mask_global_ssim,buffered_outside_mask_l1_aux,buffered_inside_mask_l1_aux,buffered_outside_mask_mse,buffered_inside_mask_mse,buffered_outside_mask_psnr,buffered_inside_mask_psnr,buffered_outside_mask_global_ssim,buffered_inside_mask_global_ssim,strict_outside_mask_lpips,buffered_outside_mask_lpips
original_fys_tdm,0.034561647670501315,0.07421011662394814,0.004831360342273038,0.01571499811528814,23.88879453313801,19.507037186076044,0.950434609469384,0.817835674535082,0.03275106907269708,0.06233141053531126,0.004353974453544478,0.012499335289032989,24.512992767941803,19.836746355101013,0.9545821535788379,0.8903640574671872,0.12353356813980357,0.1067592217192306
endpoint_projection,0.025981611840553153,0.08233691770899089,0.0028838069568845443,0.019008048794279614,26.70523089845555,18.877090181930107,0.9697953779735431,0.8029920140684089,0.02395249076061325,0.06190032341470148,0.002280711558434303,0.0135140069148708,27.85795851261283,20.198699266989436,0.9754623037304337,0.8917552551841504,0.11423707197783352,0.09823991434048794
residual_rk2,0.025501661255197965,0.07968225510064823,0.002714586651378844,0.017747222160786284,26.902597227982547,19.178866514117505,0.9713818281910659,0.8119434881239794,0.023471655529308074,0.06055344859043415,0.002107603499622398,0.01294426375435723,28.098047764695263,20.391097574501345,0.9771868341644759,0.8958798502876687,0.112701061671063,0.09665040406635247
endpoint_projection_n3,0.030447228480193534,0.06850912706074064,0.0031477870021046524,0.01318565576724009,25.844807634306257,20.261715561572764,0.9671354941469873,0.846213684229267,0.028960278084091157,0.0553322737815521,0.0027587856846797883,0.00992493736518194,26.49814666615086,21.072108139868853,0.970400934217561,0.9146299912731437,0.14370933124574561,0.1273536939110796
