case_uid,part_size,footprint_change,mask_iou,mask_ap,mask_area_over_gt
synth_0000,small,comparable,0.1085450346420323,0.3848056528587465,6.384615384615385
synth_0001,medium,comparable,0.2193877551020408,0.3453973523097577,2.715025906735751
synth_0002,large,comparable,0.206043956043956,0.2584121534722655,2.027586206896552
synth_0003,large,comparable,0.3023465703971119,0.3528820457948123,1.8405511811023625
synth_0004,medium,comparable,0.4,0.66539547269541,1.5555555555555556
synth_0005,medium,comparable,0.5161290322580645,0.8558523461151116,0.7407407407407407
synth_0006,small,comparable,0.1037037037037037,0.158021345684425,2.0408163265306123
synth_0007,medium,comparable,0.1324786324786324,0.2430198925473935,2.533333333333333
synth_0008,small,comparable,0.3033707865168539,0.5338196731275998,1.4166666666666667
synth_0009,large,comparable,0.3172690763052209,0.4981486233837935,1.695890410958904
synth_0010,medium,comparable,0.2672292545710267,0.586431695031565,2.6775510204081634
synth_0011,small,comparable,0.3115264797507788,0.7331820817608681,3.048076923076923
synth_0012,large,comparable,0.2642924086223055,0.4380122696031054,3.4375
synth_0013,small,comparable,0.167910447761194,0.7535987756873348,5.955555555555556
synth_0015,large,comparable,0.1523988711194732,0.2033661887491313,2.769230769230769
synth_0016,large,comparable,0.3858477970627503,0.477653245969968,1.2813186813186814
synth_0017,large,comparable,0.29607250755287,0.3225513584478143,2.142857142857143
synth_0018,medium,comparable,0.3183962264150943,0.484839314951454,1.809045226130653
synth_0019,medium,comparable,0.3572854291417165,0.4107294170638474,1.6877470355731226
synth_0020,large,comparable,0.601113172541744,0.8316019503810058,0.9930715935334872
synth_0021,large,comparable,0.3940217391304347,0.6905727542849203,0.5177514792899408
synth_0022,medium,comparable,0.8523489932885906,0.9669846061960612,0.93006993006993
synth_0023,small,comparable,0.6266666666666667,0.8544583599055994,1.280373831775701
synth_0024,large,expansion,0.4279279279279279,0.7819908098066691,0.5240384615384616
synth_0025,medium,comparable,0.7142857142857143,0.8494428424923115,1.028169014084507
synth_0026,small,expansion,0.4615384615384615,0.8868138370690845,2.04
synth_0027,large,comparable,0.7014925373134329,0.8918785792760515,1.0100755667506298
synth_0028,small,comparable,0.3583333333333333,0.4918212918017621,1.2638888888888888
synth_0029,small,expansion,0.3936651583710407,0.361632980983229,2.1752577319587627
synth_0030,small,contraction,0.5228758169934641,0.6740995126222836,1.6781609195402298
synth_0031,medium,expansion,0.1422413793103448,0.2949100371244699,0.5317919075144508
synth_0032,small,expansion,0.3953488372093023,0.6767246626297276,0.8181818181818182
synth_0033,medium,comparable,0.08649468892261,0.1086104509226591,1.8412698412698412
synth_0034,small,expansion,0.0629370629370629,0.403757097347297,0.2258064516129032
synth_0035,small,expansion,0.3529411764705882,0.4780519871215897,2.108108108108108
synth_0036,medium,comparable,0.466867469879518,0.6939796058353824,0.8730769230769231
synth_0037,small,expansion,0.4274193548387097,0.6716940408012364,0.7019230769230769
synth_0038,large,expansion,0.4729729729729729,0.9445394959663154,0.4850136239782016
synth_0039,small,expansion,0.3333333333333333,0.5452817558879127,2.4814814814814814
synth_0040,small,comparable,0.45,0.9072206157913952,2.1636363636363636
synth_0041,medium,expansion,0.625,0.79477920540946,1.2392344497607657
synth_0042,medium,comparable,0.169047619047619,0.2392497232864932,1.9226190476190477
synth_0043,small,expansion,0.3737373737373737,0.6965057526442884,0.4166666666666667
synth_0044,large,comparable,0.3586572438162544,0.7034971096757398,0.6020833333333333
synth_0045,medium,expansion,0.1711711711711711,0.3598263708518897,0.5918367346938775
synth_0046,large,comparable,0.4970873786407767,0.7734812795008865,0.8141176470588235
synth_0047,large,comparable,0.4047904191616766,0.4255703057132347,1.7730496453900708
synth_0048,large,comparable,0.5650172612197929,0.7772243548321962,0.9101123595505618
synth_0049,large,comparable,0.5186335403726708,0.6781238368569493,1.5535248041775458
synth_0050,small,comparable,0.1984732824427481,0.4906121981650606,5.038461538461538
synth_0051,small,comparable,0.1282051282051282,0.1126383641424536,7.196078431372549
synth_0052,medium,comparable,0.1447852760736196,0.1327366322048339,4.689024390243903
synth_0053,large,comparable,0.0558035714285714,0.0813269668761836,2.556390977443609
synth_0054,small,comparable,0.0589198036006546,0.0763703503313885,5.3431372549019605
synth_0055,large,comparable,0.0529801324503311,0.139175899185928,0.117750439367311
synth_0056,medium,comparable,0.4213483146067415,0.8037752969904336,0.4457142857142857
synth_0057,large,comparable,0.2902813299232736,0.2842916720106923,2.3633333333333333
synth_0058,medium,comparable,0.1764705882352941,0.2018504221832371,1.4675324675324677
synth_0059,medium,comparable,0.2490494296577946,0.3268436041396675,2.0416666666666665
