part_size,method,local_edit_success_0_2,non_target_preservation_0_2,overall_prompt_adherence_0_2,visual_quality_0_2,joint_success,strict_joint_success
large,endpoint_projection,1.35,0.95,1.35,1.875,0.525,0.1
large,original_fys_tdm,0.925,0.625,1.075,1.9,0.35,0.075
large,residual_rk2,1.325,1.025,1.475,1.875,0.475,0.2
medium,endpoint_projection,1.0526315789473684,1.0263157894736843,1.131578947368421,1.9210526315789473,0.4473684210526316,0.21052631578947367
medium,original_fys_tdm,1.0526315789473684,0.5,1.0,1.736842105263158,0.2631578947368421,0.02631578947368421
medium,residual_rk2,1.0789473684210527,1.1842105263157894,1.2105263157894737,1.868421052631579,0.5263157894736842,0.15789473684210525
small,endpoint_projection,0.9,1.05,1.175,1.75,0.575,0.05
small,original_fys_tdm,0.875,0.65,0.95,1.85,0.25,0.0
small,residual_rk2,1.025,1.125,1.15,1.7,0.55,0.05
