part_size,method,strict_outside_mask_l1_aux,strict_inside_mask_l1_aux,strict_outside_mask_mse,strict_inside_mask_mse,strict_outside_mask_psnr,strict_inside_mask_psnr,strict_outside_mask_global_ssim,strict_inside_mask_global_ssim,buffered_outside_mask_l1_aux,buffered_inside_mask_l1_aux,buffered_outside_mask_mse,buffered_inside_mask_mse,buffered_outside_mask_psnr,buffered_inside_mask_psnr,buffered_outside_mask_global_ssim,buffered_inside_mask_global_ssim,strict_outside_mask_lpips,buffered_outside_mask_lpips
large,endpoint_projection,0.02770521598868067,0.0770845589227974,0.00346944198536216,0.017432668036781195,26.313015602470397,19.502057503009798,0.9645496507087981,0.8224993931728453,0.02478854781948026,0.06322068534791465,0.00256913515040645,0.013978398742619854,27.726493749200323,20.381218888717388,0.9727120335770444,0.8980779852927796,0.11383403372019525,0.09153596870601172
large,endpoint_projection_n3,0.03146954802796241,0.058566573075950104,0.003511387290200175,0.010266112483805,25.53416783230094,21.290176734277058,0.964513944186727,0.8770178143739719,0.029331163642927954,0.05336493663489813,0.002966941896011075,0.009189323784084925,26.351173911580908,21.479543432673946,0.9689643973145594,0.9294090427699124,0.13681406714022154,0.11412542238831516
large,original_fys_tdm,0.03571581244468684,0.060730855586007194,0.005278545687906405,0.012071511158137534,23.74671737862544,20.862781176913835,0.9473377420536202,0.861502058086065,0.033221606258302894,0.057476152852177574,0.004620351115590845,0.01119688878534357,24.52516316619469,20.380121475207474,0.9527235287347366,0.9132655516518657,0.12185646016150709,0.1006739703007042
large,residual_rk2,0.02738091861829157,0.0754436386749148,0.0033491357666206997,0.016293408672208853,26.39172430356996,19.846373805326884,0.9655399472351924,0.8325075739375112,0.024426103290170385,0.06232005273923273,0.0024364647761103203,0.013436951607582103,27.888439939702977,20.51048163796308,0.9739499553640532,0.9017268589991178,0.11403646841645236,0.0912020549178123
medium,endpoint_projection,0.024799687689856437,0.07943878411070293,0.0025137556918994317,0.018746016289744684,27.111440729079646,19.382027139384384,0.974343030379452,0.8066797832124829,0.023299891109529253,0.05775958142782508,0.002137440578448295,0.012092732830512253,28.11104060902078,20.98935840101751,0.9782958039403011,0.8949054761840022,0.10841171580709905,0.09427396698217637
medium,endpoint_projection_n3,0.029845028821574967,0.06605026831752372,0.002922437588782242,0.012778079406799411,26.073056211051377,20.519417541394372,0.9696678855515711,0.8426998082088739,0.028669598169232622,0.05314594222918932,0.002649673027917684,0.009073426297522643,26.598719809295744,21.538416184218924,0.972247875582959,0.9138235051401026,0.14041941730599652,0.12514301448276166
medium,original_fys_tdm,0.03719372606199034,0.07635304194531937,0.005091696634496463,0.01621533359253872,23.466187284538652,19.476621450620396,0.949703492371764,0.7976364550382042,0.03566178248116841,0.06442090202318991,0.0047142650827911945,0.012551662156750448,24.050346512190092,19.903661810744026,0.9534753433825948,0.8765702848110161,0.13747846060677574,0.11919024272968892
medium,residual_rk2,0.024048108019326817,0.07442893607443882,0.002279548256314847,0.016844378919095543,27.464459990240268,19.842221766795948,0.9765429871204341,0.8199211420368464,0.022600662796512988,0.05503176936977782,0.001909503630533963,0.011170461369482257,28.453463491517166,21.357602028709017,0.9804281159750651,0.9019056083294282,0.10472464835957472,0.09090130854594075
small,endpoint_projection,0.025380835635587518,0.09034250341355794,0.002649720630142785,0.020832360431086223,26.7115468553478,17.772432751268855,0.9707208354526747,0.7799812542771023,0.023736403370276042,0.0645136663690209,0.002128395397448865,0.014399825467262364,27.74899528443778,19.265053467934816,0.975520748684449,0.8824398151256618,0.12017419859766956,0.10871150996536012
small,endpoint_projection_n3,0.02999699860811229,0.08078759685158725,0.00299826865666542,0.016492396593093823,25.938611288403717,18.988437508037936,0.967351272272893,0.8187477363039358,0.028865538444369974,0.05937662590295071,0.0026542864972725,0.011469486460555291,26.549574934733176,20.22168020493119,0.9700828768234346,0.9006171016027642,0.15373001359403132,0.14268211089074606
small,original_fys_tdm,0.03090700842440123,0.08565359860658642,0.004136855519027415,0.01888316636905069,24.432348573819965,18.18018814392111,0.9542260381278865,0.7933585495061327,0.029515354149043504,0.06520165130496022,0.0037453216937137304,0.01375207126839082,24.940336312653038,19.229801552133686,0.9574922481093701,0.8805666473058714,0.11196302827447649,0.10103500317782159
small,residual_rk2,0.02500327946618195,0.08891152460128064,0.002493324011447785,0.020058736728969913,26.8797005282503,17.88117173286361,0.9723206081640393,0.7838006310932241,0.023344650864601094,0.06403243970125909,0.00196693709876849,0.01413668816676358,27.970010649206746,19.353534279542323,0.977344495244839,0.8843083714365481,0.11894324757158752,0.10756039395928378
