method,part_size,n_runs,manual_local_edit_success_0_2,manual_outside_preservation_0_2,binary_iou,soft_ap,pred_to_gt_area_ratio,soft_inside_gt_mass,outside_mask_psnr,outside_mask_global_ssim,outside_mask_lpips
FYS TDM,large,12,1.250 ± 0.866,0.750 ± 0.452,0.308 ± 0.138,0.371 ± 0.186,3.19 ± 1.63,0.255 ± 0.156,21.16 ± 1.32,0.927 ± 0.031,0.184 ± 0.023
FYS TDM,medium,12,1.000 ± 1.044,1.250 ± 0.866,0.161 ± 0.066,0.225 ± 0.133,5.40 ± 2.03,0.113 ± 0.031,20.04 ± 1.54,0.902 ± 0.031,0.196 ± 0.044
FYS TDM,small,12,0.750 ± 0.866,0.750 ± 0.866,0.048 ± 0.014,0.124 ± 0.086,16.98 ± 10.69,0.041 ± 0.012,19.87 ± 1.97,0.928 ± 0.039,0.194 ± 0.033
FLUX target-token attention,large,12,NA,NA,0.425 ± 0.174,0.609 ± 0.196,2.38 ± 1.26,0.352 ± 0.163,NA,NA,NA
FLUX target-token attention,medium,12,NA,NA,0.267 ± 0.108,0.338 ± 0.146,3.43 ± 1.14,0.171 ± 0.089,NA,NA,NA
FLUX target-token attention,small,12,NA,NA,0.240 ± 0.276,0.501 ± 0.415,13.09 ± 15.09,0.094 ± 0.048,NA,NA,NA
