part_size,binary_iou_count,binary_iou_mean,binary_iou_std,binary_iou_median,soft_ap_count,soft_ap_mean,soft_ap_std,soft_ap_median,pred_to_gt_area_ratio_count,pred_to_gt_area_ratio_mean,pred_to_gt_area_ratio_std,pred_to_gt_area_ratio_median,soft_inside_gt_mass_count,soft_inside_gt_mass_mean,soft_inside_gt_mass_std,soft_inside_gt_mass_median,outside_mask_l1_aux_count,outside_mask_l1_aux_mean,outside_mask_l1_aux_std,outside_mask_l1_aux_median,outside_mask_psnr_count,outside_mask_psnr_mean,outside_mask_psnr_std,outside_mask_psnr_median,outside_mask_global_ssim_count,outside_mask_global_ssim_mean,outside_mask_global_ssim_std,outside_mask_global_ssim_median,outside_mask_lpips_count,outside_mask_lpips_mean,outside_mask_lpips_std,outside_mask_lpips_median
large,12,0.3081334070207457,0.1382541034093923,0.28056972722130874,12,0.37118983930412863,0.18577806637858313,0.31612085670212065,12,3.1920898303583414,1.6300014515840415,3.407809955222087,12,0.2547025717794895,0.15566016563018573,0.18164608627557755,12,0.05080527160316706,0.011274605742325805,0.04940015636384487,12,21.164885717015196,1.324525600919473,20.890550602728474,12,0.9270403981208801,0.03134686442378134,0.9322153627872467,12,0.18430536612868306,0.022630866792537924,0.188860110938549
medium,12,0.161285576888738,0.06565006832326939,0.1410883293461042,12,0.2250074646246074,0.1332852363607016,0.2003692904520301,12,5.399441693904941,2.0277912523108363,4.950815228507327,12,0.11279083974659443,0.030521280992974825,0.1140194907784462,12,0.05682285316288471,0.016113096158115642,0.06162470020353794,12,20.042111557037753,1.5383230981272753,20.323069411250483,12,0.902330681681633,0.031010938636850265,0.8983297646045685,12,0.19562485441565514,0.04425889247108217,0.19603049755096436
small,12,0.047781005341891246,0.014150222504038955,0.04739074022247296,12,0.12448056324934213,0.08588394135248707,0.10563981549626716,12,16.984080623783004,10.690456249043333,12.622122873937695,12,0.041216274723410606,0.012101233333294834,0.040667686611413956,12,0.05895891785621643,0.014778826383331303,0.054169366136193275,12,19.872295154799588,1.966501436701879,20.068392513945874,12,0.9283529818058014,0.03860180901744233,0.940098911523819,12,0.1943247616291046,0.03308541714041245,0.20328436046838755
