run_uid,case_uid,seed,part_size,part,edit,gt_area,pred_tdm_area,pred_to_gt_area_ratio,binary_iou,soft_ap,soft_inside_gt_mass,outside_mask_l1_aux,inside_mask_l1_aux,outside_mask_mse,inside_mask_mse,outside_mask_psnr,inside_mask_psnr,outside_mask_global_ssim,inside_mask_global_ssim,outside_mask_lpips,source_image,gt_mask,fys_image,binary_tdm_path,smoothed_tdm_path
real_0002_seed_001,real_0002,1,small,seat,mesh,0.029911041259765625,0.3095703125,10.349700293329933,0.05004011704738531,0.05186901944065934,0.04282232001423836,0.046172354370355606,0.10474155098199844,0.0067236158065497875,0.01841299794614315,21.723971105006193,17.348754952836988,0.9641039967536926,0.294420063495636,0.142717495560646,core/data/partedit_subset/cases/real_0002/source.png,core/data/partedit_subset/cases/real_0002/gt_mask.png,core/results/follow_your_shape/real_0002/seed_001/img_0.jpg,core/results/follow_your_shape/real_0002/seed_001/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0002/seed_001/tdm/smoothed_soft_tdm.npy
real_0002_seed_002,real_0002,2,small,seat,mesh,0.029911041259765625,0.3095703125,10.349700293329933,0.05004011704738531,0.05186901944065934,0.04282232001423836,0.046172354370355606,0.10474155098199844,0.0067236158065497875,0.01841299794614315,21.723971105006193,17.348754952836988,0.9641039967536926,0.294420063495636,0.142717495560646,core/data/partedit_subset/cases/real_0002/source.png,core/data/partedit_subset/cases/real_0002/gt_mask.png,core/results/follow_your_shape/real_0002/seed_002/img_0.jpg,core/results/follow_your_shape/real_0002/seed_002/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0002/seed_002/tdm/smoothed_soft_tdm.npy
real_0010_seed_000,real_0010,0,medium,head,dragon,0.0478515625,0.390625,8.16326530612245,0.09863893561706683,0.08506018544988608,0.07199309021234512,0.07141903787851334,0.12555855512619019,0.011886151507496834,0.02671767584979534,19.249587382835568,15.732013234985015,0.9221071600914001,0.590343177318573,0.2540944516658783,core/data/partedit_subset/cases/real_0010/source.png,core/data/partedit_subset/cases/real_0010/gt_mask.png,core/results/follow_your_shape/real_0010/seed_000/img_0.jpg,core/results/follow_your_shape/real_0010/seed_000/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0010/seed_000/tdm/smoothed_soft_tdm.npy
real_0010_seed_001,real_0010,1,medium,head,dragon,0.0478515625,0.390625,8.16326530612245,0.09863893561706683,0.08506018544988608,0.07199309021234512,0.07141903787851334,0.12555855512619019,0.011886151507496834,0.02671767584979534,19.249587382835568,15.732013234985015,0.9221071600914001,0.590343177318573,0.2540944516658783,core/data/partedit_subset/cases/real_0010/source.png,core/data/partedit_subset/cases/real_0010/gt_mask.png,core/results/follow_your_shape/real_0010/seed_001/img_0.jpg,core/results/follow_your_shape/real_0010/seed_001/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0010/seed_001/tdm/smoothed_soft_tdm.npy
real_0010_seed_002,real_0010,2,medium,head,dragon,0.0478515625,0.390625,8.16326530612245,0.09863893561706683,0.08506018544988608,0.07199309021234512,0.07141903787851334,0.12555855512619019,0.011886151507496834,0.02671767584979534,19.249587382835568,15.732013234985015,0.9221071600914001,0.590343177318573,0.2540944516658783,core/data/partedit_subset/cases/real_0010/source.png,core/data/partedit_subset/cases/real_0010/gt_mask.png,core/results/follow_your_shape/real_0010/seed_002/img_0.jpg,core/results/follow_your_shape/real_0010/seed_002/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0010/seed_002/tdm/smoothed_soft_tdm.npy
real_0004_seed_000,real_0004,0,medium,carhood,rusted,0.053619384765625,0.3369140625,6.283437677859989,0.15600722673893405,0.26568875195865804,0.125813826918602,0.06894540041685104,0.10555834323167801,0.015772581100463867,0.02870681695640087,18.020972308331608,15.420149598862087,0.8721892833709717,0.27167704701423645,0.1848680078983307,core/data/partedit_subset/cases/real_0004/source.png,core/data/partedit_subset/cases/real_0004/gt_mask.png,core/results/follow_your_shape/real_0004/seed_000/img_0.jpg,core/results/follow_your_shape/real_0004/seed_000/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0004/seed_000/tdm/smoothed_soft_tdm.npy
real_0004_seed_001,real_0004,1,medium,carhood,rusted,0.053619384765625,0.3369140625,6.283437677859989,0.15600722673893405,0.26568875195865804,0.125813826918602,0.06894540041685104,0.10555834323167801,0.015772581100463867,0.02870681695640087,18.020972308331608,15.420149598862087,0.8721892833709717,0.27167704701423645,0.1848680078983307,core/data/partedit_subset/cases/real_0004/source.png,core/data/partedit_subset/cases/real_0004/gt_mask.png,core/results/follow_your_shape/real_0004/seed_001/img_0.jpg,core/results/follow_your_shape/real_0004/seed_001/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0004/seed_001/tdm/smoothed_soft_tdm.npy
real_0004_seed_002,real_0004,2,medium,carhood,rusted,0.053619384765625,0.3369140625,6.283437677859989,0.15600722673893405,0.26568875195865804,0.125813826918602,0.06894540041685104,0.10555834323167801,0.015772581100463867,0.02870681695640087,18.020972308331608,15.420149598862087,0.8721892833709717,0.27167704701423645,0.1848680078983307,core/data/partedit_subset/cases/real_0004/source.png,core/data/partedit_subset/cases/real_0004/gt_mask.png,core/results/follow_your_shape/real_0004/seed_002/img_0.jpg,core/results/follow_your_shape/real_0004/seed_002/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0004/seed_002/tdm/smoothed_soft_tdm.npy
real_0007_seed_000,real_0007,0,medium,seat,leather,0.0550079345703125,0.1943359375,3.532871012482663,0.1261694319532744,0.13504982894540216,0.1022251546382904,0.03262297436594963,0.06258609890937805,0.007250114344060421,0.009466600604355335,21.396551439665398,20.23805945369531,0.9404739141464233,0.5359240174293518,0.1363439708948135,core/data/partedit_subset/cases/real_0007/source.png,core/data/partedit_subset/cases/real_0007/gt_mask.png,core/results/follow_your_shape/real_0007/seed_000/img_0.jpg,core/results/follow_your_shape/real_0007/seed_000/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0007/seed_000/tdm/smoothed_soft_tdm.npy
real_0007_seed_001,real_0007,1,medium,seat,leather,0.0550079345703125,0.1943359375,3.532871012482663,0.1261694319532744,0.13504982894540216,0.1022251546382904,0.03262297436594963,0.06258609890937805,0.007250114344060421,0.009466600604355335,21.396551439665398,20.23805945369531,0.9404739141464233,0.5359240174293518,0.1363439708948135,core/data/partedit_subset/cases/real_0007/source.png,core/data/partedit_subset/cases/real_0007/gt_mask.png,core/results/follow_your_shape/real_0007/seed_001/img_0.jpg,core/results/follow_your_shape/real_0007/seed_001/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0007/seed_001/tdm/smoothed_soft_tdm.npy
real_0007_seed_002,real_0007,2,medium,seat,leather,0.0550079345703125,0.1943359375,3.532871012482663,0.1261694319532744,0.13504982894540216,0.1022251546382904,0.03262297436594963,0.06258609890937805,0.007250114344060421,0.009466600604355335,21.396551439665398,20.23805945369531,0.9404739141464233,0.5359240174293518,0.1363439708948135,core/data/partedit_subset/cases/real_0007/source.png,core/data/partedit_subset/cases/real_0007/gt_mask.png,core/results/follow_your_shape/real_0007/seed_002/img_0.jpg,core/results/follow_your_shape/real_0007/seed_002/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0007/seed_002/tdm/smoothed_soft_tdm.npy
real_0001_seed_000,real_0001,0,medium,head,cat,0.056949615478515625,0.2060546875,3.6181927791546653,0.26432671324567675,0.41423109214448334,0.1511312872171402,0.05430399999022484,0.16463111340999603,0.007077281828969717,0.04678863286972046,21.50133509731843,13.298596443955661,0.8745523691177368,0.48561403155326843,0.207192987203598,core/data/partedit_subset/cases/real_0001/source.png,core/data/partedit_subset/cases/real_0001/gt_mask.png,core/results/follow_your_shape/real_0001/seed_000/img_0.jpg,core/results/follow_your_shape/real_0001/seed_000/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0001/seed_000/tdm/smoothed_soft_tdm.npy
real_0001_seed_001,real_0001,1,medium,head,cat,0.056949615478515625,0.2060546875,3.6181927791546653,0.26432671324567675,0.41423109214448334,0.1511312872171402,0.05430399999022484,0.16463111340999603,0.007077281828969717,0.04678863286972046,21.50133509731843,13.298596443955661,0.8745523691177368,0.48561403155326843,0.207192987203598,core/data/partedit_subset/cases/real_0001/source.png,core/data/partedit_subset/cases/real_0001/gt_mask.png,core/results/follow_your_shape/real_0001/seed_001/img_0.jpg,core/results/follow_your_shape/real_0001/seed_001/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0001/seed_001/tdm/smoothed_soft_tdm.npy
real_0001_seed_002,real_0001,2,medium,head,cat,0.056949615478515625,0.2060546875,3.6181927791546653,0.26432671324567675,0.41423109214448334,0.1511312872171402,0.05430399999022484,0.16463111340999603,0.007077281828969717,0.04678863286972046,21.50133509731843,13.298596443955661,0.8745523691177368,0.48561403155326843,0.207192987203598,core/data/partedit_subset/cases/real_0001/source.png,core/data/partedit_subset/cases/real_0001/gt_mask.png,core/results/follow_your_shape/real_0001/seed_002/img_0.jpg,core/results/follow_your_shape/real_0001/seed_002/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0001/seed_002/tdm/smoothed_soft_tdm.npy
