case_uid,method,part_size,part,footprint_change,local_edit_success_0_2,non_target_preservation_0_2,overall_prompt_adherence_0_2,visual_quality_0_2,joint_success,strict_joint_success
synth_0011,endpoint_auto,small,torso,comparable,1.5,1.0,2.0,2.0,1.0,0.0
synth_0011,endpoint_gt,small,torso,comparable,2.0,1.5,2.0,2.0,1.0,0.5
synth_0011,rk2_auto,small,torso,comparable,2.0,1.0,2.0,2.0,1.0,0.0
synth_0011,rk2_gt,small,torso,comparable,2.0,1.0,2.0,2.0,1.0,0.0
synth_0011,rk2_n15_auto,small,torso,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0011,rk2_n15_gt,small,torso,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0012,endpoint_auto,large,torso,comparable,2.0,0.0,1.5,2.0,0.0,0.0
synth_0012,endpoint_gt,large,torso,comparable,2.0,1.0,2.0,2.0,1.0,0.0
synth_0012,rk2_auto,large,torso,comparable,1.5,0.0,1.0,2.0,0.0,0.0
synth_0012,rk2_gt,large,torso,comparable,2.0,1.0,1.5,2.0,1.0,0.0
synth_0012,rk2_n15_auto,large,torso,comparable,2.0,0.0,1.5,2.0,0.0,0.0
synth_0012,rk2_n15_gt,large,torso,comparable,2.0,1.0,1.5,2.0,1.0,0.0
synth_0013,endpoint_auto,small,torso,comparable,2.0,1.0,1.5,2.0,1.0,0.0
synth_0013,endpoint_gt,small,torso,comparable,2.0,1.0,2.0,2.0,1.0,0.0
synth_0013,rk2_auto,small,torso,comparable,2.0,1.0,1.5,2.0,1.0,0.0
synth_0013,rk2_gt,small,torso,comparable,2.0,1.5,2.0,2.0,1.0,0.5
synth_0013,rk2_n15_auto,small,torso,comparable,2.0,1.0,2.0,2.0,1.0,0.0
synth_0013,rk2_n15_gt,small,torso,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0015,endpoint_auto,large,torso,comparable,1.5,0.5,1.0,2.0,0.5,0.0
synth_0015,endpoint_gt,large,torso,comparable,2.0,1.5,2.0,2.0,1.0,0.5
synth_0015,rk2_auto,large,torso,comparable,2.0,0.5,1.0,2.0,0.5,0.0
synth_0015,rk2_gt,large,torso,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0015,rk2_n15_auto,large,torso,comparable,1.5,0.0,2.0,2.0,0.0,0.0
synth_0015,rk2_n15_gt,large,torso,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0016,endpoint_auto,large,torso,comparable,2.0,1.0,1.5,2.0,1.0,0.0
synth_0016,endpoint_gt,large,torso,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0016,rk2_auto,large,torso,comparable,2.0,1.0,2.0,2.0,1.0,0.0
synth_0016,rk2_gt,large,torso,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0016,rk2_n15_auto,large,torso,comparable,2.0,1.5,2.0,2.0,1.0,0.5
synth_0016,rk2_n15_gt,large,torso,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0017,endpoint_auto,large,torso,comparable,1.5,1.0,1.5,2.0,1.0,0.0
synth_0017,endpoint_gt,large,torso,comparable,2.0,0.5,1.5,2.0,0.5,0.0
synth_0017,rk2_auto,large,torso,comparable,1.5,0.5,2.0,2.0,0.5,0.0
synth_0017,rk2_gt,large,torso,comparable,2.0,1.0,2.0,2.0,1.0,0.0
synth_0017,rk2_n15_auto,large,torso,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0017,rk2_n15_gt,large,torso,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0018,endpoint_auto,medium,torso,comparable,2.0,1.0,2.0,2.0,1.0,0.0
synth_0018,endpoint_gt,medium,torso,comparable,2.0,1.5,2.0,2.0,1.0,0.5
synth_0018,rk2_auto,medium,torso,comparable,2.0,1.0,2.0,2.0,1.0,0.0
synth_0018,rk2_gt,medium,torso,comparable,2.0,1.5,2.0,2.0,1.0,0.5
synth_0018,rk2_n15_auto,medium,torso,comparable,2.0,1.5,2.0,2.0,1.0,0.5
synth_0018,rk2_n15_gt,medium,torso,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0019,endpoint_auto,medium,hair,comparable,2.0,1.0,2.0,2.0,1.0,0.0
synth_0019,endpoint_gt,medium,hair,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0019,rk2_auto,medium,hair,comparable,2.0,1.0,2.0,2.0,1.0,0.0
synth_0019,rk2_gt,medium,hair,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0019,rk2_n15_auto,medium,hair,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0019,rk2_n15_gt,medium,hair,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0020,endpoint_auto,large,hair,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0020,endpoint_gt,large,hair,comparable,2.0,2.0,2.0,2.0,1.0,1.0
