case_uid,method,part_size,part,footprint_change,local_edit_success_0_2,non_target_preservation_0_2,overall_prompt_adherence_0_2,visual_quality_0_2,joint_success,strict_joint_success
synth_0049,rk2_auto,large,car body,comparable,2.0,1.0,2.0,2.0,1.0,0.0
synth_0049,rk2_gt,large,car body,comparable,2.0,1.5,2.0,2.0,1.0,0.5
synth_0049,rk2_n15_auto,large,car body,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0049,rk2_n15_gt,large,car body,comparable,2.0,1.5,2.0,2.0,1.0,0.5
synth_0050,endpoint_auto,small,car hood,comparable,2.0,1.0,2.0,2.0,1.0,0.0
synth_0050,endpoint_gt,small,car hood,comparable,2.0,1.0,2.0,2.0,1.0,0.0
synth_0050,rk2_auto,small,car hood,comparable,2.0,1.0,2.0,2.0,1.0,0.0
synth_0050,rk2_gt,small,car hood,comparable,2.0,1.5,2.0,2.0,1.0,0.5
synth_0050,rk2_n15_auto,small,car hood,comparable,2.0,1.0,2.0,2.0,1.0,0.0
synth_0050,rk2_n15_gt,small,car hood,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0051,endpoint_auto,small,car hood,comparable,2.0,0.5,2.0,2.0,0.5,0.0
synth_0051,endpoint_gt,small,car hood,comparable,2.0,1.0,2.0,2.0,1.0,0.0
synth_0051,rk2_auto,small,car hood,comparable,2.0,1.0,2.0,2.0,1.0,0.0
synth_0051,rk2_gt,small,car hood,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0051,rk2_n15_auto,small,car hood,comparable,1.5,0.5,2.0,2.0,0.5,0.0
synth_0051,rk2_n15_gt,small,car hood,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0052,endpoint_auto,medium,car hood,comparable,2.0,1.0,1.5,2.0,1.0,0.0
synth_0052,endpoint_gt,medium,car hood,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0052,rk2_auto,medium,car hood,comparable,2.0,1.5,2.0,2.0,1.0,0.5
synth_0052,rk2_gt,medium,car hood,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0052,rk2_n15_auto,medium,car hood,comparable,2.0,1.5,2.0,2.0,1.0,0.5
synth_0052,rk2_n15_gt,medium,car hood,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0053,endpoint_auto,large,car hood,comparable,2.0,1.0,2.0,2.0,1.0,0.0
synth_0053,endpoint_gt,large,car hood,comparable,2.0,1.0,1.5,2.0,1.0,0.0
synth_0053,rk2_auto,large,car hood,comparable,0.0,1.0,1.0,2.0,0.0,0.0
synth_0053,rk2_gt,large,car hood,comparable,1.5,1.0,2.0,2.0,1.0,0.0
synth_0053,rk2_n15_auto,large,car hood,comparable,0.5,2.0,1.5,2.0,0.5,0.0
synth_0053,rk2_n15_gt,large,car hood,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0054,endpoint_auto,small,car hood,comparable,0.5,1.0,1.0,2.0,0.5,0.0
synth_0054,endpoint_gt,small,car hood,comparable,2.0,1.0,2.0,2.0,1.0,0.0
synth_0054,rk2_auto,small,car hood,comparable,0.5,1.0,1.5,2.0,0.5,0.0
synth_0054,rk2_gt,small,car hood,comparable,2.0,1.0,2.0,2.0,1.0,0.0
synth_0054,rk2_n15_auto,small,car hood,comparable,0.5,1.0,1.0,2.0,0.5,0.0
synth_0054,rk2_n15_gt,small,car hood,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0055,endpoint_auto,large,car hood,comparable,2.0,1.0,2.0,2.0,1.0,0.0
synth_0055,endpoint_gt,large,car hood,comparable,2.0,1.0,1.5,2.0,1.0,0.0
synth_0055,rk2_auto,large,car hood,comparable,2.0,1.0,2.0,2.0,1.0,0.0
synth_0055,rk2_gt,large,car hood,comparable,2.0,1.0,2.0,2.0,1.0,0.0
synth_0055,rk2_n15_auto,large,car hood,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0055,rk2_n15_gt,large,car hood,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0056,endpoint_auto,medium,seat,comparable,1.5,2.0,2.0,2.0,1.0,0.5
synth_0056,endpoint_gt,medium,seat,comparable,2.0,1.5,2.0,2.0,1.0,0.5
synth_0056,rk2_auto,medium,seat,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0056,rk2_gt,medium,seat,comparable,2.0,1.5,2.0,2.0,1.0,0.5
synth_0056,rk2_n15_auto,medium,seat,comparable,0.5,2.0,1.5,2.0,0.5,0.0
synth_0056,rk2_n15_gt,medium,seat,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0057,endpoint_auto,large,seat,comparable,1.5,1.5,1.5,2.0,1.0,0.0
synth_0057,endpoint_gt,large,seat,comparable,1.0,1.0,1.0,2.0,1.0,0.0
synth_0057,rk2_auto,large,seat,comparable,2.0,1.0,2.0,2.0,1.0,0.0
synth_0057,rk2_gt,large,seat,comparable,1.0,1.0,1.5,2.0,1.0,0.0
synth_0057,rk2_n15_auto,large,seat,comparable,1.5,1.0,1.5,2.0,1.0,0.0
synth_0057,rk2_n15_gt,large,seat,comparable,0.5,2.0,1.0,2.0,0.5,0.0
synth_0058,endpoint_auto,medium,seat,comparable,1.5,2.0,1.5,2.0,1.0,0.5
synth_0058,endpoint_gt,medium,seat,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0058,rk2_auto,medium,seat,comparable,1.5,2.0,2.0,2.0,1.0,0.5
synth_0058,rk2_gt,medium,seat,comparable,1.5,2.0,1.5,2.0,1.0,0.5
synth_0058,rk2_n15_auto,medium,seat,comparable,1.0,2.0,2.0,2.0,1.0,0.0
synth_0058,rk2_n15_gt,medium,seat,comparable,0.5,2.0,2.0,2.0,0.5,0.0
synth_0059,endpoint_auto,medium,seat,comparable,0.0,2.0,1.5,2.0,0.0,0.0
synth_0059,endpoint_gt,medium,seat,comparable,0.0,2.0,1.5,2.0,0.0,0.0
synth_0059,rk2_auto,medium,seat,comparable,0.0,2.0,1.0,2.0,0.0,0.0
synth_0059,rk2_gt,medium,seat,comparable,0.5,2.0,1.0,2.0,0.5,0.0
synth_0059,rk2_n15_auto,medium,seat,comparable,0.0,2.0,1.0,2.0,0.0,0.0
synth_0059,rk2_n15_gt,medium,seat,comparable,0.0,2.0,1.5,2.0,0.0,0.0
