method,local_edit_success_0_2,non_target_preservation_0_2,overall_prompt_adherence_0_2,visual_quality_0_2,joint_success,strict_joint_success
endpoint_auto,1.2796610169491525,1.1355932203389831,1.5169491525423728,2.0,0.6101694915254238,0.1440677966101695
rk2_auto,1.271186440677966,1.152542372881356,1.5508474576271187,1.9915254237288136,0.635593220338983,0.1271186440677966
endpoint_gt,1.3389830508474576,1.5,1.6016949152542372,2.0,0.7288135593220338,0.2542372881355932
rk2_gt,1.2796610169491525,1.4576271186440677,1.6016949152542372,2.0,0.711864406779661,0.2627118644067797
rk2_n15_auto,1.1694915254237288,1.5423728813559323,1.5932203389830508,1.9915254237288136,0.5932203389830508,0.288135593220339
rk2_n15_gt,1.2881355932203389,1.9406779661016949,1.652542372881356,2.0,0.7033898305084746,0.5423728813559322
